Week One Flagella Regeneration in Various Densities,,,,,,,,,,,,,,,,,,,,,,,,
2C,flagella length (um) ,,,,,,,,,,,,4C,flagella length (um),,,,,,,,,,
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,3.4,3.4,3.5,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0
40.0,5.8,6.7,4.0,5.4,5.5,4.0,6.8,5.9,5.1,3.4,5.3,,40.0,4.5,3.3,3.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,8.2,7.2,6.7,5.0,4.2,6.1,6.4,4.5,5.1,4.0,5.7,,50.0,3.3,4.4,3.6,3.5,4.2,4.2,3.5,3.5,0.0,0.0,3.0
60.0,7.6,7.2,7.4,8.1,7.8,6.1,5.5,9.3,7.2,6.8,7.3,,70.0,3.9,3.7,3.8,3.7,0.0,0.0,6.0,6.0,4.4,3.7,3.5
75.0,7.8,5.3,5.8,6.8,6.8,6.4,5.5,9.6,5.2,7.4,6.7,,75.0,4.7,6.3,3.3,4.2,3.7,3.4,3.3,3.3,3.7,4.0,4.0
90.0,7.5,10.1,6.7,7.0,7.2,6.6,7.0,10.1,6.4,6.2,7.5,,90.0,3.8,3.8,5.2,6.1,4.5,3.8,3.7,4.4,6.1,6.6,4.8
,,,,,,,,,,,,,,,,,,,,,,,,
NDF,flagella length (um),,,,,,,,,,,,,,,,,,,,,,,
Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um),,,,,,,,,,,,,
0.0,3.9,5.7,3.6,3.9,4.5,6.0,3.5,4.3,0.0,0.0,3.5,,,,,,,,,,,,,
90.0,6.9,5.5,4.7,5.3,4.0,4.0,4.6,4.3,4.6,3.7,4.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Week Two Flagella Regeneration in Various Densities,,,,,,,,,,,,,,,,,,,,,,,,
4C,flagella length (um),,,,,,,,,,,,2C,flagella length (um) ,,,,,,,,,,
Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,AVG length (um),,Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,7.2,4.7,2.8,2.7,0.0,0.0,0.0,0.0,5.8,4.5,2.8
50.0,10.1,10.0,8.0,9.9,13.2,13.0,9.9,10.7,12.9,10.3,10.8,,50.0,4.2,3.3,3.5,3.7,5.1,4.8,7.5,7.9,5.0,5.2,5.0
70.0,14.2,11.7,8.5,13.7,14.1,15.8,11.8,10.3,11.6,12.3,12.4,,60.0,7.5,8.3,5.4,6.0,7.9,5.0,6.7,6.2,4.4,6.2,6.4
75.0,15.0,11.9,9.8,13.3,12.7,12.2,10.1,8.7,14.0,12.0,12.0,,75.0,7.4,4.5,8.7,7.9,6.8,5.1,4.5,4.3,5.9,4.0,5.9
90.0,15.4,15.8,8.5,7.8,11.5,13.0,14.6,13.7,9.3,12.3,12.2,,90.0,7.6,7.4,5.4,7.4,7.0,6.2,6.8,8.0,7.2,6.2,6.9
,,,,,,,,,,,,,,,,,,,,,,,,
1/2C,flagella length (um),,,,,,,,,,,,C,flagella length (um),,,,,,,,,,
Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um),,Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
50.0,10.4,10.7,12.7,10.4,9.2,10.5,10.4,10.8,10.3,10.6,10.6,,50.0,4.8,5.2,3.6,3.5,5.8,6.8,3.3,0.0,0.0,0.0,5.0
70.0,14.5,11.1,10.2,11.0,10.6,8.8,9.4,13.1,10.1,12.4,11.1,,60.0,5.2,5.5,3.8,5.3,5.7,6.6,4.5,5.4,5.0,4.1,6.4
75.0,12.9,10.8,13.3,9.1,8.7,14.5,11.7,13.9,9.0,9.5,11.3,,75.0,6.3,6.8,5.2,5.8,5.3,6.3,5.9,6.4,4.1,5.7,5.9
90.0,11.3,12.9,12.5,15.1,8.2,8.2,18.1,12.3,20.2,15.5,13.4,,90.0,5.8,5.5,6.1,5.5,7.4,5.3,5.3,5.1,5.5,6.1,6.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NDF,flagella length (um),,,,,,,,,,,,,,,,,,,,,,,
Time (min),1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,AVG length (um),,,,,,,,,,,,,
0.0,17.4,20.0,13.2,14.7,12.3,13.5,9.5,18.5,12.5,13.1,14.5,,,,,,,,,,,,,
90.0,11.0,14.1,13.2,16.6,15.3,13.0,8.7,8.0,15.3,8.7,12.4,,,,,,,,,,,,,
